mineral,reliance,primary_source
Aluminum (bauxite),75%,Jamaica
Antimony,83%,China
Arsenic,100%,China
Barite,75%,China
Bismuth,96%,China
Chromium,83%,South Africa
Cobalt,76%,Norway
Fluorspar,100%,Mexico
Gallium,100%,China
Germanium,50%,China
Graphite (natural),100%,China
Indium,100%,Republic of Korea
Lithium,25%,Argentina
Magnesium,50%,Israel
Manganese,100%,Gabon
Nickel,56%,Canada
Niobium,100%,Brazil
Palladium,26%,Russia
Platinum,66%,South Africa
Rare Earths (compounds and metals),95%,China
Scandium,100%,Europe
Tantalum,100%,China
Tellerium,75%,Canada
Tin,77%,Peru
Titanium (metal),95%,Japan
Tungsten,50%,China
Vanadium,54%,Canada
Yttrium,100%,China
Zinc,76%,Canada
Zirconium,50%,South Africa
